customer_text,final_intent,source_file,source_intent
@115828 How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away,preorder_or_release,Pasted markdown(1).md,preorder_release_issue
#Amazon who packages these games. Ordered to games and both came rattling inside their cases. One is broken. Games may have suffered scratches. @115821 https://t.co/KqpOkpLeP8,preorder_or_release,Pasted markdown(1).md,preorder_release_issue
Hey @115821 What’s the point of preordering a game if I don’t get it until 5 days after release?,preorder_or_release,Pasted markdown(1).md,preorder_release_issue
I'm so anxious to see that my Xbox one X will be shipping. I'm seeing other people get their confirmations. Where's mine @115821,preorder_or_release,Pasted markdown(1).md,preorder_release_issue
@121055 When do you add Japan to the list of countries with access through the Xbox one app? @116313 @115821,preorder_or_release,Pasted markdown(1).md,preorder_release_issue
@AmazonHelp You have to log in. I don't remember the email address I used. Can you look up the account by my bank information?,account_access_or_security,Pasted markdown(1).md,account_login_issue
@AmazonHelp Hello? So how do I contact someone if I can't log in?! I'm really concerned about what is happening with my acct and who has access to it!,account_access_or_security,Pasted markdown(1).md,account_login_issue
"@AmazonHelp yeah I am, I only have the one login!",account_access_or_security,Pasted markdown(1).md,account_login_issue
@AmazonHelp I was told I'd receive an email to reset my password since my account was hacked and 5 phone calls later nothing.,account_access_or_security,Pasted markdown(1).md,account_login_issue
@AmazonHelp I can't log in to my account to even do that. That's the issue. I have Zero access cause it's been hacked.,account_access_or_security,Pasted markdown(1).md,account_login_issue
@AmazonHelp if I add another adult to my Amazon household (with their own account) can they see my wishlists/photos/order history?,account_access_or_security,Pasted markdown(1).md,account_security_scam_issue
@AmazonHelp I don’t have an amazon account. The parcel has been delivered to the wrong address.,account_access_or_security,Pasted markdown(1).md,account_security_scam_issue
"Guys please deep this! I was ranting about the shit service I received from @115830 and this fake amazon account @21011 posed as them and asked for my card details, address etc then BLOCKED ME 😂😂😂😂😩😩😩😩 Beware guys ! https://t.co/m5LWeYB9vc",account_access_or_security,Pasted markdown(1).md,account_security_scam_issue
@AmazonHelp Hi I’ve had a suspicious looking email claiming to be from Amazon confirming prime which I haven’t bought. Can I dm screenshot?,account_access_or_security,Pasted markdown(1).md,account_security_scam_issue
"Someone's trying to get into my amazon account, but when @115830 send the confirmation code, there's no way to tell them it wasn't asked for.",account_access_or_security,Pasted markdown(1).md,account_security_scam_issue
